"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Smoking attributable deaths","Inverclyde","S12000018","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",195.05,403.15,346.75,465.87,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Midlothian","S12000019","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",150.6,307.59,258.79,362.68,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Moray","S12000020","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",165,275.26,234.03,321.53,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","North Ayrshire","S12000021","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",334.73,392.88,350.18,439.19,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Orkney Islands","S12000023","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",34.87,245.15,168.28,344.17,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Scottish Borders","S12000026","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",212.22,267.1,231.13,306.92,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Shetland Islands","S12000027","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",29.13,234.54,152.62,342.63,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","South Ayrshire","S12000028","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",247.96,314.02,275.28,356.58,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","South Lanarkshire","S12000029","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",640.51,357.93,329.75,387.8,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Stirling","S12000030","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",120.69,233.98,192.58,281.38,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Aberdeen City","S12000033","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",353.34,333.06,298.22,370.77,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Aberdeenshire","S12000034","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",386.21,271.22,244.08,300.49,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Argyll & Bute","S12000035","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",152.58,246.62,207.65,290.58,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","City of Edinburgh","S12000036","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",639.86,271.9,250.7,294.39,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Renfrewshire","S12000038","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",349.38,352.12,315.23,392.06,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","West Dunbartonshire","S12000039","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",192.9,404.39,346.7,468.59,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","West Lothian","S12000040","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",263.09,296.9,260.73,336.54,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Angus","S12000041","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",221.87,285.21,247.75,326.59,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Dundee City","S12000042","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",347.14,447.51,400.44,498.49,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Dunbartonshire","S12000045","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",142.48,205.91,172.62,243.61,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Fife","S12000047","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",745.95,341.99,317.28,368.07,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Perth & Kinross","S12000048","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",244.59,239.51,209.89,272.08,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Glasgow City","S12000049","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",1340.28,508.85,480.82,538.02,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","North Lanarkshire","S12000050","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",701.08,415.07,383.23,448.74,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
